created,text,retwc,hashtag,followers,friends
2018-02-03 16:52:02,b'[East Boston] Golem (F) (IV: 68% - CP: 1348) until 12:19:51PM at 385-399 Lovell St https://t.co/fAhke4peym https://t.co/L11mSDzbk7',0,None,1046,0
2018-02-03 16:52:02,b'RT @SmBizAmerica: 5 new ways to connect with your customers on Google @google https://t.co/KNuYqiGoiB via @SmBizAmerica #Google',14,Google,506,710
2018-02-03 16:52:02,b'[Greater Duwamish] Togetic (M) (IV: 48% - CP: 934) until 09:21:22AM at 1698 S Dakota St https://t.co/Tr4ANnJ7I5 https://t.co/Dqv8LHqBjV',0,None,582,0
2018-02-03 16:52:02,b'[Flemingdon Park] Togetic (M) (IV: 64% - CP: 448) until 12:18:15PM at 13 Pavane Linkway https://t.co/UcM6lmXqEE https://t.co/fxZR1nHgZt',0,None,601,0
2018-02-03 16:52:02,b'[Preston] Venusaur (M) (IV: 66% - CP: 1113) until 04:20:59AM at 59A Roseberry Ave https://t.co/OvW4UpytlK https://t.co/EIBn0RrYns',0,None,1008,0
2018-02-03 16:52:02,b'Join the airdrop\nhttps://t.co/C7YP6CJDCh',0,None,1327,1859
2018-02-03 16:52:02,"b'71 #SEO Myths Busted By #Google, Officially https://t.co/Xmncpicf1q https://t.co/EbhNwYmXxb'",0,SEO,75901,25447
2018-02-03 16:52:02,b'Who will Samsung partner with for AI \nhttps://t.co/JzHCmKed28',0,None,272,1357
2018-02-03 16:52:01,b'RT @GiAdUzZoLa90: My twitter family:\nParents: @F1Carcarla @diorentus\nSpouse: @fedeju93\nChildren: @eliz_rossi @Superfly_Video\n\nvia https://t\xe2\x80\xa6',1,None,11404,143
2018-02-03 16:52:00,"b'Connect with the owner of Book Marketing Tools, Shawn Manaher, on G+ for great tips: https://t.co/2N5KwsCvY5'",0,None,150497,151307
2018-02-03 16:52:00,b'RT @TheRealJuIian: The left is working overtime to discredit this memo...do your part and share this all over the internet so the world kno\xe2\x80\xa6',1467,None,1551,2141
2018-02-03 16:52:00,b'\xe3\x80\x90My cutie devil\xe3\x80\x91\xe3\x80\x80 #mycutiedevil \n\xe3\x80\x90iOS\xe3\x80\x91https://t.co/VL3syqHtD4\n\xe3\x80\x90Android\xe3\x80\x91https://t.co/deAsoV96YM https://t.co/RarLDcU1gF',0,mycutiedevil,57,399
2018-02-03 16:51:59,"b'RT @jelenawoehr: Tarantino permanently injured her by making her drive a defective stunt car, then recreated the crash by staging it with T\xe2\x80\xa6'",29,None,41,279
2018-02-03 16:51:58,b'RT @mariam_abouz: my arab parents said I can\xe2\x80\x99t travel until I\xe2\x80\x99m married so I made this application. PLEASE RETWEET TO HELP ME FIND MY TRAVE\xe2\x80\xa6',1634,None,363,153
2018-02-03 16:51:58,b'RT @DStellati: @TechAltar This is starting to get out of control. What if the next move is to make google docs etc. Chrome only? Luckily th\xe2\x80\xa6',1,None,1024,70
2018-02-03 16:51:58,b'RT @charlesmilander: Google \xe2\x80\x98fixed\xe2\x80\x99 its racist algorithm by removing gorillas from its image-labeling tech\nhttps://t.co/Np8F0XIwFz #charles\xe2\x80\xa6',50,None,113,121
2018-02-03 16:51:58,b'RT @JarettSays: Uma Thurman shares her Weinstein story https://t.co/JzOTUsxg4d https://t.co/KXmbdWULgN',1164,None,455,155
2018-02-03 16:51:57,b'Utilize your leadership skills. Become a MahaMitra.\nGet a chance to meet Hon. CM @Dev_Fadnavis\nDownload App:\xe2\x80\xa6 https://t.co/8R6kDzWF7U',0,None,28539,482
2018-02-03 16:51:57,b'Venusaur \xe2\x99\x82 Razor Leaf/Sludge Bomb (IV: 76% - CP: 708 - L: 10 until 12:16:05pm. https://t.co/QJKkTBZOCX',0,None,59,0
2018-02-03 16:51:55,"b'RT @HannaFlint: Jesus Fucking Christ, Quentin Tarantino. What a piece of shit.  https://t.co/SasgqhaNs6'",27,None,609,540
2018-02-03 16:51:55,b'I just completed the quest Helen in Paradise Island for Android! https://t.co/fd08vNWK39 #Gameinsight',0,Gameinsight,0,0
2018-02-03 16:51:55,b'RT @JarettSays: Uma Thurman shares her Weinstein story https://t.co/JzOTUsxg4d https://t.co/KXmbdWULgN',1164,None,60469,1041
2018-02-03 16:51:54,b'RT @Otho_Network: OTHO AIRDROP Phase 2.\nAirdrop is LIVE now. Start filling the airdrop registration form and get ready to move on. \nhttps:/\xe2\x80\xa6',106,None,1643,2052
2018-02-03 16:51:53,b'Wite like you Talk.... \xe2\x9c\x8d\xef\xb8\x8f #ContentWriting #SEO #Google #contentstrategy \xe2\x9c\x8d\xef\xb8\x8f',0,ContentWriting,161,445
2018-02-03 16:51:53,b'@Jjl206Thompson I google publishers and then email their publicity dept and ask for free stuff for school. Always g\xe2\x80\xa6 https://t.co/qbzb1tB4VT',0,None,209,149
2018-02-03 16:51:53,b'RT @SmBizAmerica: Digital Coaches help Black and Latino businesses grow online @google https://t.co/bnQqXQ5RgQ #SmallBusiness #Tools #Growt\xe2\x80\xa6',14,SmallBusiness,506,710
